id,subject,sender,date,snippet,prediction,confidence,category,sub_category,importance,matched_keywords,is_unread
19d1e7ee38aa0877,“associate”: IQVIA - Associate Site Report Specialist and more,LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Tue, 24 Mar 2026 06:18:24 +0000 (UTC)",IQVIA Associate Site Report Specialist: Job OverviewProvide project related assistance… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,NOT SPAM,89.16554925002197,Work,Transactions,Important,"project, job",True
19d1e22ad5132637,Registered successfully for Prompt Wars!,Unstop <noreply@emails.unstop.com>,"Tue, 24 Mar 2026 04:38:00 +0000","Prompt Wars You&#39;ve successfully registered. Registration Details Is Verified Isha Lanjekar KC College of Engineering And Management Studies &amp; Research (KCIMS), Thane View Opportunity Important",NOT SPAM,68.6707256727604,Work,Transactions,Not Important,,False
19d1e10bdc324dd1,“associate”: Keystone Recruitment - Hindi Language Associate (Remote) and more,LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Tue, 24 Mar 2026 04:18:25 +0000 (UTC)",Keystone Recruitment Hindi Language Associate (Remote): Role: Hindi Language Associate (Remote)Location:… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,NOT SPAM,88.38482366927883,Work,Transactions,Important,job,True
19d1c5d358d5c7e2,"[CodePen Spark] CSS Television, Wobbly Shapes, and Bioluminescence",CodePen <support@codepen.io>,"Mon, 23 Mar 2026 20:22:32 +0000","View this issue on CodePen CSS Television, Wobbly Shapes, and Bioluminescence This edition of The CodePen Spark is sponsored by AWS Marketplace. Read their free new whitepaper and learn how leading",NOT SPAM,76.35683819459787,Work,Transactions,Not Important,,True
19d1c5cedff594c4,🦾 First AI Wearable for Strength Training,"""TAAFT - There's An AI For That"" <hi@mail.theresanaiforthat.com>","Mon, 23 Mar 2026 20:21:24 +0000 (UTC)","A screenless wristband, Zuck&#39;s AI CEO agent, OpenAI&#39;s no-resume hiring, Karpathy&#39;s AI butler, and more... ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌",NOT SPAM,66.19126721926649,Work,Work/Meetings,Important,"project, meeting",True
19d1c3f12bf749df,"😏Isha, still blending makeup with your fingers?",Nykaa <noreply@nykaa.com>,"Tue, 24 Mar 2026 01:19:48 +0530",You need makeup brushes from Nykaa Tools. You need makeup brushes from Nykaa Tools. Click here to unsubscribe,NOT SPAM,96.79132968773914,Work,Work,Not Important,,True
19d1c0c4f5ce3674,Paytm is hiring.,Team Unstop <noreply@dare2compete.news>,"Tue, 24 Mar 2026 00:23:40 +0530",Stipend upto INR 30K. ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,NOT SPAM,68.45861040370171,Work,Newsletters,Important,internship,True
19d1baebd8d5cacd,Turn ideas into AI products at IIMA (Fully Sponsored),Tanu from Unstop <noreply@unstop.news>,"Mon, 23 Mar 2026 22:47:13 +0530",Check out how. ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿,NOT SPAM,81.22397503464403,Work,Work,Not Important,,True
19d1b7b5e45a15cc,"Pitch your idea at SRCC & win ₹35,000",Tanu from Unstop <noreply@unstop.news>,"Mon, 23 Mar 2026 21:46:03 +0530",Register now! ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏,NOT SPAM,79.16332722083382,Work,Work,Not Important,,True
19d1b3eb79ac1ee6,Why clicks aren’t turning into customers (and how to fix it),Neil Patel <np@neilpatel.com>,"Mon, 23 Mar 2026 15:09:46 +0000 (UTC)","Most local businesses are focused on the wrong thing. More traffic. More clicks. More impressions. But here&#39;s the problem: None of that guarantees customers. Today, people decide before they ever",NOT SPAM,56.36465923646833,Work,Newsletters,Not Important,,True
19d1af3d22e2edf4,"Prasad Sawant posted: 𝗧𝗵𝗲 ""𝗗𝗼𝗰𝗸𝗲𝗿 𝗳𝗼𝗿 𝗔𝗜 𝗮𝗴𝗲𝗻𝘁𝘀""…",LinkedIn <notifications-noreply@linkedin.com>,"Mon, 23 Mar 2026 13:47:32 +0000 (UTC)","Isha, 8 new updates for you ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏",NOT SPAM,90.84495680795756,Work,Newsletters,Important,project,True
19d1ae038a3060f1,"Isha Lanjekar,360° AI mastery starts here",AIML Texas McCombs <aiml@upskill.mygreatlearning.com>,"Mon, 23 Mar 2026 13:26:32 +0000",Know More! ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌,NOT SPAM,76.233419851066,Work,Transactions,Important,project,True
19d1accc9558062c,Paytm is hiring - Your profile is a match!,Jia from Unstop <noreply@dare2compete.news>,"Mon, 23 Mar 2026 13:05:20 +0000",Earn a stipend of INR 30000! ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏,NOT SPAM,81.82430107366675,Work,Work,Not Important,,True
19d1a8184fe3f8f3,Verification code,Elomia <support@elomia.com>,"Mon, 23 Mar 2026 11:43:08 +0000 (UTC)","Please enter the code below to complete your sign-in. For security purposes, this code will expire in 5 minutes. For your privacy, please open this email fully to view your secure verification code.",SPAM,62.42806527099181,General Spam,General Spam,Not Important,,True
19d1969ad748900d,Microsoft is hiring - Your profile is a top match!,Jia from Unstop <noreply@dare2compete.news>,"Mon, 23 Mar 2026 06:37:28 +0000",Earn CTC upto 30 LPA! ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏ ﻿ ͏,NOT SPAM,66.4784946191385,Work,Work,Not Important,,True
19d19583877c39c6,“associate”: IDFC FIRST Bank - Associate CAD Manager - BBG and more,LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Mon, 23 Mar 2026 06:18:24 +0000 (UTC)",IDFC FIRST Bank Associate CAD Manager - BBG: Job RequirementsAbout the RoleWe are hiring an… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,NOT SPAM,87.62850655382557,Work,Transactions,Important,job,True
19d191502c801eeb,Security alert for ce24.isha.lanjekar@kccemsr.edu.in,Google <no-reply@accounts.google.com>,"Mon, 23 Mar 2026 05:04:58 GMT","This is a copy of a security alert sent to ce24.isha.lanjekar@kccemsr.edu.in. ishalanjekar@gmail.com is the recovery email for this account. If you don&#39;t recognize this account, remove it. A new",NOT SPAM,77.18983094661263,Work,Notifications,Not Important,,True
19d18ea645565b00,"“associate”: CertiK - Business Development Associate (Remote, India) and more",LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Mon, 23 Mar 2026 04:18:24 +0000 (UTC)","CertiK Business Development Associate (Remote, India): About The CompanyOne of the fastest-growing and… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏",NOT SPAM,87.91638097181071,Work,Transactions,Important,"project, job",True
19d1723ca3db07f0,🦾 This Week in AI: Your Recap,"""TAAFT - There's An AI For That"" <hi@mail.theresanaiforthat.com>","Sun, 22 Mar 2026 20:01:45 +0000 (UTC)","The tools, stories, and breakthroughs that mattered most this week. ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌",NOT SPAM,58.29741437539341,Work,Transactions,Important,project,True
19d16a8ae04fadb3,"One dashboard. SEO, GEO, and AEO — all in one place.",Neil Patel <np@neilpatel.com>,"Sun, 22 Mar 2026 17:39:56 +0000 (UTC)",The full-picture view you&#39;ve been missing ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,NOT SPAM,93.70297318876655,Work,Newsletters,Not Important,,True
